close,position,returns,cumulative_returns,buy_hold_returns,buy_hold_cumulative_returns
152.52,0,0.0,1.0,,
150.48,0,-0.0,1.0,-0.013375295043273172,0.9866247049567268
154.41,0,0.0,1.0,0.026116427432216982,1.0123918174665616
151.38,0,-0.0,1.0,-0.019623081406644705,0.9925255704169943
150.65,0,-0.0,1.0,-0.004822301492931613,0.9877393128769997
148.59,0,-0.0,1.0,-0.013674078991038896,0.9742328874901651
147.1,0,-0.0,1.0,-0.01002759270475817,0.9644636768948333
145.35,0,-0.0,1.0,-0.011896668932698806,0.952989771833202
148.04,0,0.0,1.0,0.018507051943584374,0.9706268030422237
148.41,0,0.0,1.0,0.002499324506890055,0.9730527143981115
147.1,0,-0.0,1.0,-0.008826898456977261,0.9644636768948333
150.41,0,0.0,1.0,0.022501699524133167,0.9861657487542614
147.37,0,-0.0,1.0,-0.020211422112891397,0.9662339365329135
145.55,0,-0.0,1.0,-0.012349867679989135,0.9543010752688169
142.76,0,-0.0,1.0,-0.0191686705599452,0.9360083923419875
144.8,0,0.0,1.0,0.014289717007565317,0.9493836873852607
144.7,0,-0.0,1.0,-0.0006906077348067807,0.948728035667453
141.77,0,-0.0,1.0,-0.02024879060124385,0.9295174403356934
142.39,0,0.0,1.0,0.004373280665867174,0.9335824809860999
132.59,0,-0.0,1.0,-0.06882505793946192,0.869328612640965
121.87,0,-0.0,1.0,-0.08085074289162075,0.799042748492001
132.74,0,0.0,1.0,0.08919340280626908,0.8703120902176764
128.03,0,-0.0,1.0,-0.035482898900105475,0.8394308943089431
128.13,0,0.0,1.0,0.0007810669374364032,0.8400865460267505
126.99,0,-0.0,1.0,-0.008897213767267598,0.832612116443745
132.14,0,0.0,1.0,0.04055437436018572,0.8663781799108312
127.73,0,-0.0,1.0,-0.03337369456636885,0.8374639391555205
127.76,0,0.0,1.0,0.00023487042981296113,0.8376606346708628
125.06,0,-0.0,1.0,-0.021133375078271732,0.8199580382900603
125.53,0,0.0,1.0,0.0037581960658883418,0.8230396013637555
126.21,0,0.0,1.0,0.005417031785230453,0.8274980330448464
128.04,0,0.0,1.0,0.014499643451390432,0.8394964594807235
134.28,0,0.0,1.0,0.04873477038425489,0.8804091266719115
131.52,0,-0.0,1.0,-0.020554066130473614,0.8623131392604245
129.12,0,-0.0,1.0,-0.018248175182481785,0.8465774980330445
130.62,0,0.0,1.0,0.011617100371747124,0.8564122738001569
127.11,0,-0.0,1.0,-0.026871841984382194,0.8333988985051136
134.29,0,0.0,1.0,0.056486507749193615,0.8804746918436921
134.14,0,-0.0,1.0,-0.0011169856281182389,0.8794912142669808
135.33,1,0.0,1.0,0.008871328462800365,0.8872934697088903
144.04,1,0.06436119116234384,1.0643611911623438,0.06436119116234384,0.9444007343299236
142.86,1,-0.008192168841988146,1.0556417645754823,-0.008192168841988146,0.9366640440597952
140.75,1,-0.014769704605907985,1.0400502475430429,-0.014769704605907985,0.9228297928140569
137.73,1,-0.02145648312611015,1.0177344269563289,-0.02145648312611015,0.9030291109362704
144.8,1,0.05133231685181161,1.069977093031848,0.05133231685181161,0.9493836873852607
142.4,1,-0.016574585635359185,1.0522426660755189,-0.016574585635359185,0.9336480461578807
146.57,1,0.02928370786516843,1.0830562329121403,0.02928370786516843,0.9609887227904533
143.58,1,-0.02039980896499949,1.0609620926623806,-0.02039980896499949,0.9413847364280092
165.77,1,0.15454798718484475,1.2249316485627724,0.15454798718484475,1.0868738526094937
166.6,1,0.005006937322796556,1.231064804551836,0.005006937322796556,1.0923157618672958
164.37,1,-0.013385354141656647,1.2145865661715802,-0.013385354141656647,1.0776947285601886
170.06,1,0.03461702257102872,1.25663193674721,0.03461702257102872,1.1150013113034352
174.43,1,0.025696812889568488,1.2889233724968592,0.025696812889568488,1.143653291371623
167.04,1,-0.04236656538439498,1.234316116160496,-0.04236656538439498,1.0952006294256487
167.03,1,-5.9865900383093695e-05,1.2342422227148448,-5.9865900383093695e-05,1.095135064253868
169.52,1,0.014907501646410859,1.2526416906820361,0.014907501646410859,1.1114607920272748
168.19,1,-0.007845681925436554,1.2428138624104037,-0.007845681925436554,1.102740624180435
162.97,1,-0.031036327962423393,1.2042414837803883,-0.031036327962423393,1.0685156045108835
162.63,1,-0.0020862735472786387,1.2017291066282416,-0.0020862735472786387,1.066286388670338
160.52,1,-0.012974235995818595,1.1861375895958026,-0.012974235995818595,1.0524521374245999
167.9,1,0.045975579367057096,1.2406709524865143,0.045975579367057096,1.1008392341987934
170.21,1,0.013758189398451526,1.257740338431981,0.013758189398451526,1.1159847888801466
175.88,1,0.033311791316608774,1.299637922116308,0.033311791316608774,1.1531602412798319
173.8,1,-0.011826245167159355,1.2842680854208228,-0.011826245167159355,1.139522685549436
185.14,1,0.0652474108170309,1.368063252789477,0.0652474108170309,1.2138735903488065
180.14,1,-0.027006589607864284,1.3311165299637917,-0.027006589607864284,1.1810910044584315
183.82,1,0.020428555567891582,1.358309317963496,0.020428555567891582,1.2052189876737476
188.59,1,0.02594929822652592,1.3935564915391998,0.02594929822652592,1.2364935746131653
189.92,1,0.007052335754812011,1.403384319810832,0.007052335754812011,1.2452137424600052
189.01,1,-0.004791491154170213,1.3966600162565572,-0.004791491154170213,1.2392473118279568
204.1,1,0.07983704565895988,1.5081652257444755,0.07983704565895988,1.3381851560451086
213.27,1,0.04492895639392458,1.5759255154067826,0.04492895639392458,1.3983084185680563
223.57,1,0.04829558775261389,1.6520357644276942,0.04829558775261389,1.4658405455022285
223.57,1,0.0,1.6520357644276942,0.0,1.4658405455022285
